tract_geoid,month_start,y_incidents_12m,predicted_next_30d,risk_score,lag_1m_count,rolling_mean_3m,rolling_mean_12m,total_pop_acs,median_hh_income_acs
17031828702,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3963,69342
17031828801,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4892,112774
17031828802,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3252,76591
17031828900,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3769,57174
17031829000,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,1034,30610
17031829100,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3382,38077
17031829200,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5623,53368
17031829301,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4080,82128
17031829302,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3291,60153
17031829401,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,948,51161
17031829402,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3089,58244
17031829500,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3986,52115
17031829600,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3016,60878
17031829700,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2904,54145
17031829800,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,6613,135212
17031829902,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,7171,90071
17031829903,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4068,80795
17031829904,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4166,80810
17031830001,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2202,45331
17031830003,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,8195,115250
17031830004,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,6874,105768
17031830005,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3664,77589
17031830006,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,2644,-666666666
17031830007,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4947,56836
17031830008,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4234,108780
17031830100,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3199,78229
17031830201,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,4822,40403
17031830202,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3800,86064
17031830300,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,5062,39488
17031830400,2025-12-01,0.0,0.023996379846436922,0.0,0.0,0.0,0.0,3778,59036
17031830500,2025-12-01,219.0,15.287944857592725,21.7,18.0,16.333333333333332,17.833333333333332,3948,59116
17031830600,2025-12-01,354.0,22.997968010490528,32.7,25.0,25.0,30.583333333333332,4788,59364
17031830700,2025-12-01,908.0,61.987055358880035,88.1,82.0,85.33333333333333,77.91666666666667,4249,64330
17031830800,2025-12-01,137.0,9.034683934801421,12.8,15.0,11.333333333333334,11.833333333333334,2415,75500
17031830900,2025-12-01,627.0,48.31680029936088,68.7,61.0,59.333333333333336,52.083333333333336,2957,121813
17031831000,2025-12-01,133.0,8.27183302965722,11.8,15.0,8.666666666666666,12.25,2224,177500
17031831100,2025-12-01,629.0,48.611524009145924,69.1,59.0,55.333333333333336,52.0,7191,96318
17031831200,2025-12-01,243.0,18.299997333539345,26.0,21.0,21.666666666666668,19.75,4710,55326
17031831300,2025-12-01,435.0,29.69469752233407,42.2,22.0,26.333333333333332,36.833333333333336,1176,43144
17031831400,2025-12-01,658.0,44.59680598805475,63.4,50.0,51.666666666666664,56.166666666666664,2962,33210
17031831500,2025-12-01,469.0,36.345369621806924,51.7,34.0,37.666666666666664,38.083333333333336,3859,76914
17031831600,2025-12-01,370.0,26.5869983376589,37.8,25.0,31.333333333333332,30.25,7221,63839
17031831700,2025-12-01,443.0,33.66703697495254,47.9,42.0,38.666666666666664,35.916666666666664,2224,44653
17031831800,2025-12-01,313.0,20.867309842715265,29.7,20.0,29.333333333333332,27.083333333333332,7918,80471
17031831900,2025-12-01,138.0,10.555127149688781,15.0,14.0,12.666666666666666,12.583333333333334,3074,125139
17031832000,2025-12-01,376.0,27.11203091489247,38.6,39.0,32.0,33.5,1701,128828
17031832100,2025-12-01,191.0,13.609082819818454,19.4,12.0,20.666666666666668,16.333333333333332,3592,79985
17031832200,2025-12-01,132.0,10.309404127683543,14.7,7.0,12.0,11.5,3216,150682
17031832300,2025-12-01,241.0,14.625408143101318,20.8,17.0,15.666666666666666,21.666666666666668,1938,119886
17031832400,2025-12-01,140.0,10.354472056427738,14.7,9.0,9.0,12.083333333333334,3558,132226
17031832500,2025-12-01,228.0,16.338336265026392,23.2,20.0,19.0,21.583333333333332,3277,142500
17031832600,2025-12-01,306.0,22.573622638908034,32.1,27.0,28.0,25.083333333333332,4348,201563
17031832900,2025-12-01,134.0,8.702811743463776,12.4,11.0,13.333333333333334,11.5,2092,75878
17031833000,2025-12-01,1732.0,138.0431300998651,100.0,165.0,163.66666666666666,144.25,4677,192608
17031833100,2025-12-01,1059.0,76.99865198070756,100.0,89.0,94.33333333333333,88.58333333333333,8469,160114
17031833300,2025-12-01,156.0,10.859750976811748,15.4,11.0,12.0,12.75,2686,85096
17031833900,2025-12-01,344.0,24.96594224287389,35.5,21.0,24.333333333333332,28.5,2696,39602
17031834000,2025-12-01,351.0,25.958341025202245,36.9,29.0,28.333333333333332,29.916666666666668,3274,39194
17031834200,2025-12-01,812.0,59.59016470288485,84.7,66.0,65.33333333333333,69.25,5689,57270
17031834300,2025-12-01,658.0,48.430887762052734,68.9,45.0,51.333333333333336,54.0,6186,52973
17031834400,2025-12-01,346.0,27.015221915381638,38.4,28.0,34.0,28.583333333333332,4263,33768
17031834500,2025-12-01,244.0,16.152794029234794,23.0,16.0,18.333333333333332,20.833333333333332,1572,48393
17031834600,2025-12-01,467.0,36.81059489214135,52.3,54.0,41.333333333333336,40.083333333333336,1825,26304
17031834700,2025-12-01,445.0,32.096702859670074,45.6,28.0,34.666666666666664,36.916666666666664,1344,34250
17031834800,2025-12-01,375.0,24.42462750074523,34.7,25.0,28.333333333333332,32.833333333333336,1683,20771
17031834900,2025-12-01,369.0,28.791298997168028,40.9,18.0,25.666666666666668,30.666666666666668,905,18500
17031835000,2025-12-01,553.0,37.651443415852654,53.5,31.0,38.0,45.25,5549,33857
17031835100,2025-12-01,313.0,20.756227215904136,29.5,21.0,26.0,27.0,4666,47049
17031835200,2025-12-01,200.0,12.913626275687514,18.4,11.0,17.0,16.75,2276,79875
17031835500,2025-12-01,261.0,18.327511611165633,26.1,20.0,22.666666666666668,21.5,1393,18304
17031835600,2025-12-01,358.0,26.761139278400304,38.1,30.0,30.666666666666668,29.166666666666668,749,13438
17031835800,2025-12-01,311.0,22.024793987848092,31.3,22.0,25.333333333333332,26.166666666666668,1852,79868
17031836000,2025-12-01,311.0,23.895087541791106,34.0,36.0,34.0,26.25,3022,77292
17031836100,2025-12-01,414.0,31.57279991215448,44.9,35.0,33.666666666666664,34.083333333333336,1827,20948
17031836200,2025-12-01,142.0,10.493602356167278,14.9,9.0,10.333333333333334,11.416666666666666,1709,146250
17031836300,2025-12-01,114.0,7.713124370883168,11.0,7.0,10.0,9.583333333333334,1744,64722
